                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0181,                 4.4745,                0.30663,                 2.5943,                 2.3917,                0.38641,                0.63715,                0.57529,                0.26949,                0.39737,                0.61239,                0.52533,                0.32423,                 1.7452,                 2.0925,                0.07048,                 1.7329,                 2.3624,             0.00033185,             0.00033185,             0.00033185
                      2,                 1.8677,                 4.1487,                0.26007,                 2.2477,                 2.2444,                0.41244,                   0.75,                 0.5589,                0.29432,                0.38737,                0.70984,                0.57149,                0.36152,                 1.6463,                 2.1528,                0.07068,                  1.743,                 2.2913,             0.00064872,             0.00064872,             0.00064872
                      3,                 1.8746,                  4.067,                0.25331,                  2.266,                 2.2742,                0.44214,                0.76146,                  0.488,                0.25184,                0.44453,                0.70801,                0.50973,                 0.2965,                 1.8082,                 2.2216,                0.07106,                 1.7182,                 2.4092,             0.00094909,             0.00094909,             0.00094909
                      4,                 1.8385,                 4.0648,                0.24616,                 2.2483,                 2.2352,                0.36925,                0.63737,                0.53215,                 0.2224,                0.43681,                0.60086,                0.48185,                0.25665,                 1.7759,                 2.4542,                0.06575,                  1.753,                 2.4254,             0.00092575,             0.00092575,             0.00092575
                      5,                 1.8275,                 3.9803,                0.24458,                 2.2383,                 2.2189,                0.39025,                0.68653,                0.50304,                0.24864,                0.52521,                0.58094,                0.45564,                0.28699,                 1.7232,                 2.2831,                0.06164,                 1.7002,                 2.3727,               0.000901,               0.000901,               0.000901
                      6,                 1.8258,                 3.9728,                0.23411,                 2.2039,                 2.2304,                0.38322,                0.72284,                0.45863,                0.22004,                0.35447,                0.63163,                0.50203,                 0.3047,                 1.9261,                 2.4431,                0.07374,                 1.7346,                 2.5133,             0.00087625,             0.00087625,             0.00087625
                      7,                 1.8078,                 3.9264,                0.23647,                 2.2046,                 2.2124,                0.40496,                0.79952,                0.54824,                 0.2611,                0.42445,                 0.7127,                0.54713,                0.31567,                 1.7679,                 2.3006,                0.05768,                 1.6421,                 2.3798,              0.0008515,              0.0008515,              0.0008515
                      8,                 1.8093,                 3.7698,                0.23028,                 2.1646,                 2.1919,                0.39768,                0.64244,                0.50284,                0.24657,                 0.4055,                0.64145,                0.51529,                0.30819,                 1.7654,                 2.2492,                0.06052,                 1.7122,                 2.4358,             0.00082675,             0.00082675,             0.00082675
                      9,                 1.7903,                 3.8738,                0.22549,                  2.143,                 2.1886,                0.37585,                0.72334,                 0.5232,                0.22599,                 0.4499,                0.70222,                0.52971,                0.31904,                 1.7968,                 2.4439,                0.06314,                 1.7778,                 2.4362,               0.000802,               0.000802,               0.000802
                     10,                 1.7754,                 3.8001,                0.22337,                 2.1317,                 2.1686,                 0.3955,                0.73993,                0.48686,                0.23458,                0.39264,                0.71692,                 0.5334,                0.29399,                 1.7993,                 2.3077,                0.06785,                 1.7195,                 2.4383,             0.00077725,             0.00077725,             0.00077725
                     11,                 1.7702,                 3.8057,                0.22328,                 2.1284,                 2.1616,                0.43013,                 0.7047,                0.47918,                0.22648,                0.45696,                0.65516,                0.53876,                0.32697,                 1.8103,                 2.1688,                0.05812,                 1.7189,                 2.4166,              0.0007525,              0.0007525,              0.0007525
                     12,                 1.7658,                 3.7353,                0.22189,                 2.1449,                 2.1646,                0.39295,                0.76051,                0.49436,                0.23974,                0.41499,                0.61285,                0.51861,                0.29923,                 1.7701,                 2.3206,                0.05792,                 1.7297,                 2.4004,             0.00072775,             0.00072775,             0.00072775
                     13,                 1.7616,                  3.796,                0.22418,                 2.1073,                 2.1632,                0.39921,                0.72944,                0.49663,                0.25441,                0.39909,                0.59761,                0.52066,                0.31735,                 1.7026,                 2.2422,                0.05841,                 1.7062,                  2.379,               0.000703,               0.000703,               0.000703
                     14,                 1.7613,                 3.7713,                 0.2164,                 2.0976,                 2.1561,                0.37935,                0.76389,                0.48211,                0.24094,                0.38959,                0.70382,                0.52956,                0.32569,                 1.7674,                 2.2222,                0.05917,                 1.6386,                 2.3962,             0.00067825,             0.00067825,             0.00067825
                     15,                  1.741,                  3.674,                0.21714,                  2.064,                 2.1507,                0.44112,                0.78759,                0.50509,                0.25235,                0.43379,                0.71269,                0.50237,                0.32733,                 1.8027,                 2.2625,                0.06521,                 1.6702,                 2.4489,              0.0006535,              0.0006535,              0.0006535
                     16,                 1.7506,                 3.7123,                0.22249,                 2.0964,                 2.1496,                0.44041,                0.77922,                0.55414,                0.27995,                0.48084,                0.79768,                0.56694,                0.36045,                  1.779,                 2.3967,                 0.0618,                 1.7648,                  2.424,             0.00062875,             0.00062875,             0.00062875
                     17,                 1.7591,                 3.6689,                0.21648,                 2.1063,                 2.1474,                0.43274,                0.75119,                0.50828,                0.24284,                0.44818,                0.78553,                0.57838,                0.36012,                 1.8537,                 2.2449,                0.05936,                  1.719,                 2.4626,               0.000604,               0.000604,               0.000604
